author,title,description,url,publishedAt,source,language
Alejandra Ramos,Turquía se dirige a una segunda vuelta para las elecciones presidenciales. Esto es todo lo que necesitas saber,"El líder de Turquía, Recep Tayyip Erdogan, se enfrentará este domingo al candidato de la oposición Kemal Kilicdaroglu en la segunda vuelta de las elecciones presidenciales.
<ul>
 <li>Tercer candidato de las elecciones apoya reelección de Erdogan</li>
 <li>¿Po…",https://cnnespanol.cnn.com/2023/05/27/turquia-segunda-vuelta-elecciones-presidenciales-lo-que-necesitas-saber-trax/,2023-05-28T00:28:47Z,CNN,es
"RAÚL PIÑA, GEMA PEÑALOSA","Blindaje contra la desinformación en las elecciones con el contexto más ""peligroso"" de la democracia",La desinformación se ha convertido en un &laquo;riesgo&raquo; y una &laquo;amenaza&raquo; para la seguridad nacional de los países. También en España. &laquo;Se trata de un...,https://www.elmundo.es/elecciones/elecciones-autonomicas/2023/05/28/64720081e4d4d8a84f8b45b4.html,2023-05-28T06:27:19Z,El Mundo,es
Jaume Pujol-Galceran,Guerra fría a Sabalanka por la guerra en Ucrania,"Aryna Sabalenka abrió el torneo en la central Philippe Chatrier con una clara victoria ante Marta Kostyuck (6-3, 6-2) que evitó darle la mano al inicio y al final del partido, en una muestra de la guerra fría del circuito entre las tenistas ucranianas y las r…",https://www.elperiodico.com/es/tenis/20230528/kostyuk-rechaza-el-saludo-sabalenka-roland-garros-88004681,2023-05-28T17:54:58Z,Elperiodico.com,es
AFP,"Los habitantes de Belgorod (Rusia), resignados a las incursiones militares desde Ucrania","En un primer momento, Marina Saprykina se planteó huir de Belgorod, una ciudad rusa fronteriza con Ucrania. Pero pese a los frecuentes bombardeos y la reciente incursión de...",https://www.elmundo.es/internacional/2023/05/28/64736f5421efa049728b459c.html,2023-05-28T15:13:19Z,El Mundo,es
AFP,Ucrania dice que derribó 58 de los 59 drones lanzados por Rusia en el ataque nocturno,"Ucrania afirmó el domingo que sus defensas aéreas derribaron 58 de los 59 drones con explosivos lanzados por Rusia en un ataque nocturno, que golpeó principalmente a la capital,...",https://www.elmundo.es/internacional/2023/05/28/64739626e4d4d8ed258b457e.html,2023-05-28T18:09:08Z,El Mundo,es
Autor Redacción,"¡Kostyuk, abucheada tras negarle el saludo a Sabalenka en Roland Garros!","El primer turno del primer día de competición en Roland Garros ha originado la primera polémica del torneo. La protagonista de esta ha sido la tenista ucraniana Marta Kostyuk, quien ha sido derrotada con autoridad por la segunda favorita del cuadro, la bielor…",https://www.mundodeportivo.com/tenis/roland-garros/20230528/1002013779/kostyuk-abucheada-negarle-saludo-sabalenka-roland-garros.html,2023-05-28T10:32:02Z,Mundodeportivo.com,es
La Voz,"Rusia lanza 54 drones de ataque sobre Ucrania, de los que 52 han sido destruidos",Un hombre de 41 años ha fallecido y una mujer de 35 se encuentra herida tras los ataques aéreos sobre la capital ucraniana,https://www.lavozdegalicia.es/noticia/internacional/2023/05/28/rusia-lanza-54-drones-ataque-sobre-ucrania-52-destruidos/00031685256883850609108.htm,2023-05-28T06:57:00Z,Lavozdegalicia.es,es
"RT en Español
 , RT en Español",'De poder a poder': Turquía acude dividida a las urnas para aupar a Erdogan o a su máximo rival en una reñida segunda vuelta,"En la primera vuelta, el actual presidente, Recep Tayyip Erdogan, obtuvo el 49,52 % de los votos frente al 44,88 % del opositor Kemal Kilicdaroglu.",https://actualidad.rt.com/actualidad/468377-abren-mesas-electorales-segunda-vuelta-presidenciales-turquia,2023-05-28T05:02:30Z,RT,es
"RT en Español
 , RT en Español",Arabia Saudita aumenta las importaciones de diésel ruso,"Paralelamente, la nación árabe se ha convertido en el principal proveedor de diésel para la Unión Europea, que cortó las entregas procedentes desde Rusia tras la imposición de sanciones.",https://actualidad.rt.com/actualidad/468445-arabia-saudita-incremento-importaciones-diesel-ruso,2023-05-28T17:12:44Z,RT,es
"RT en Español
 , RT en Español",Cierran los colegios electorales en Turquía y arranca el escrutinio del balotaje presidencial,"Más de 64,1 millones de electores, incluidos los que viven en el extranjero, fueron llamados a las urnas.",https://actualidad.rt.com/actualidad/468393-cierre-mesas-electorales-balotaje-presidencial-turquia-conteo,2023-05-28T14:00:53Z,RT,es
,La inacción del Consejo de Seguridad de la ONU ante la guerra de Ucrania reabre el debate sobre su reforma,"El Consejo de Seguridad de Naciones Unidas tiene como principal responsabilidad ""el mantenimiento de la paz y la seguridad"" en el mundo. Más de un año después del inicio de la invasión rusa sobre Ucrania, el órgano sigue atado a un sistema de vetos que impide…",https://www.europapress.es/internacional/noticia-inaccion-consejo-seguridad-onu-guerra-ucrania-reabre-debate-reforma-20230528083348.html,2023-05-28T06:33:48Z,Europapress.es,es
(abc),"Últimas noticias del domingo, 28 de mayo del 2023 | Descubre toda la actualidad y última hora de internacional","Las últimas noticias de hoy, en los mejores titulares del día que ABC pone a disposición de todos los usuarios. Todas las últimas horas del domingo, 28 de mayo con un exhaustivo resumen que no puedes dejar pasar:



La guerra cruza otra línea roja: cazas F-16…",https://www.abc.es/ultimas-noticias/abci-noticia-ultima-hora-domingo-28-05-2023-internacional-202305280600_noticia.html,2023-05-28T04:00:36Z,Www.abc.es,es
Antonio Gershenson,Antonio Gershenson: El fentanilo contra Estados Unidos,"En todas las culturas, en todas las épocas, la necesidad de salir de los problemas de la manera más “fácil” y rápida lleva a las personas a buscar un paliativo, si es que a las drogas podemos llamarles de ese modo. De acuerdo con el criterio de especialistas …",https://www.jornada.com.mx/2023/05/28/politica/011a2pol,2023-05-28T08:34:57Z,Jornada.com.mx,es
FatherKarras,"El senador republicano Lindsey Graham: ""Los rusos están muriendo... es el mejor dinero que hemos gastado nunca"".","Lindsey Graham es el senador que pidió que los rusos matasen a Vladimir Putin. www.lanacion.com.ar/estados-unidos/guerra-rusia-ucrania-el-senador-de-etiquetas: eeuu, ucrania, otan, lindsey graham, rusia» noticia original (twitter.com)",https://www.meneame.net/m/actualidad/senador-republicano-lindsey-graham-rusos-estan-muriendo-mejor,2023-05-28T11:48:18Z,Meneame.net,es
Jorge Rafael Mora Forero,Violencia y negocios,"Las acciones que más cotizan en Wall Street, son las de las industrias de armas. Suben hasta en un 300%, ¡qué bárbaro!",https://www.nuevatribuna.es/articulo/sociedad/violencia-negocios/20230527213534212193.html,2023-05-28T07:13:36Z,Nuevatribuna.es,es
(abc),EE.UU. logra un principio de acuerdo sobre el techo de deuda,"La Casa Blanca y los republicanos en el Capitolio alcanzaron en la noche de este sábado un principio de acuerdo para ampliar el margen de endeudamiento de Estados Unidos , eludiendo de este modo un colapso financiero que hubiera perjudicado a la economía mund…",https://www.abc.es/internacional/eeuu-logra-principio-acuerdo-sobre-techo-deuda-20230528045145-nt.html,2023-05-28T02:51:46Z,Www.abc.es,es
D. González,Rusia lanza sobre Kiev el mayor ataque con drones desde que comenzase la guerra de Ucrania,El Ejército ucraniano asegura que ha derribado 52 de los 54 drones kamikaze enviados por Moscú.,https://www.elespanol.com/mundo/europa/20230528/rusia-kiev-ataque-drones-comenzase-guerra-ucrania/767173284_0.html,2023-05-28T07:29:31Z,Elespanol.com,es
Amanda Pérez,"Ucrania proyecta su ""santa venganza"" contra Rusia mientras el Kremlin se reagrupa en Bakhmut","Las fuerzas rusas han disminuido temporalmente sus ataques contra la ciudad de Bakhmut, para reagruparse y fortalecer sus capacidades.",https://www.elespanol.com/mundo/europa/20230528/ucrania-proyecta-venganza-rusia-kremlin-reagrupa-bakhmut/766923434_0.html,2023-05-28T00:59:23Z,Elespanol.com,es
"Diario Financiero, Financial Times, traducido por Laura Guzmán","Rusia lanza el mayor ataque de aviones no tripulados a la capital de Ucrania en el ""Día de Kiev""",Los sistemas de defensa aérea ucranianos derribaron 58 drones mientras la capital se prepara para celebrar su fundación.,https://www.df.cl/internacional/rusia-lanza-el-mayor-ataque-de-aviones-no-tripulados-a-la-capital-de,2023-05-28T17:58:00Z,Www.df.cl,es
"Jenny Martínez, Monseñor Julio Parrilla",La guerra no es un juego,La guerra mata. Y destruye. Y nos recuerda nuestra miseria moral.,https://www.elcomercio.com/opinion/guerra-juego-monsenor-julio-parrilla-columnista.html,2023-05-28T05:05:00Z,Elcomercio.com,es
Jara Atienza,"Dejar España por entrenar al fútbol en Ucrania: ""Hay que tratar el dolor físico y emocional de la guerra""","Cuando Daniel De Castro, Curro Galán y Javier Luruena, preparadores físicos del Shakhtar Donetsk, llegaron a Kiev, la invasión rusa hacía ya un año que había empezado. Sin embargo, poder jugar la Champions y la Europa League, dicen, era ""una oportunidad"" que …",https://www.elespanol.com/mundo/europa/20230528/dejar-espana-entrenar-futbol-ucrania-tratar-emocional/766923311_0.html,2023-05-28T00:59:38Z,Elespanol.com,es
Andaui,¿Quién quiere defender a Putin?,"Más de un año después del inicio de la guerra en Ucrania, siguen existiendo voces que desde Occidente defienden la postura rusa y las decisiones del líder del país, Vladímir Putin. Pero ¿qué es lo que alimenta esa disidencia frente a la posición mayoritaria? …",https://www.meneame.net/m/actualidad/quien-quiere-defender-putin,2023-05-28T15:31:34Z,Meneame.net,es
"RT en Español
 , RT en Español",Resultados preliminares: Erdogan gana las presidenciales en Turquía,Se trata de la primera vez que Turquía celebra una segunda vuelta para elegir al futuro jefe de Estado.,https://actualidad.rt.com/actualidad/467001-erdogan-gana-presidenciales-turquia,2023-05-28T17:23:00Z,RT,es
"DEMOS, Desarrollo de Medios, S.A. de C.V.",Aumentó 30% la importación de fertilizantes: GCMA,"En el contexto del programa federal que entrega de forma gratuita fertilizantes a productores de pequeña escala para contribuir en la producción de alimentos, las compras al extranjero de este producto no dejan de aumentar. Durante los primeros tres meses del…",https://www.jornada.com.mx/2023/05/28/economia/013n2eco,2023-05-28T08:34:57Z,Jornada.com.mx,es
"DEMOS, Desarrollo de Medios, S.A. de C.V.",Venta de gasolinas cayó 11.40% anual,"El volumen de las ventas de gasolinas de Petróleos Mexicanos (Pemex) en el mercado interno ascendió a 620 mil barriles diarios en abril, dato que se tradujo en una caída de 11.40 por ciento frente a igual periodo del año pasado, de acuerdo con información de …",https://www.jornada.com.mx/2023/05/28/economia/013n1eco,2023-05-28T08:34:57Z,Jornada.com.mx,es
sergio.sevillano@wearesocial.net,EUROVISIÓN DESATA EL DEBATE EN REDES,"Análisis de Eurovisión 2023 y su alcance en redes a la hora de crear nuevas estrategias para las marcas.
The post EUROVISIÓN DESATA EL DEBATE EN REDES appeared first on We Are Social Global.",https://wearesocial.com/blog/2023/05/eurovision-desata-el-debate-en-redes/,2023-05-28T11:49:49Z,Wearesocial.com,es
(abc),Ucrania acusa a Rusia de lanzar el mayor ataque de drones contra Kiev y mata al menos a dos personas,"Rusia ha lanzado durante la noche del sábado y madrugada del domingo el «mayor» ataque con drones contra Kiev desde que inició la invasión hace 15 meses, lo que dejó al menos dos muertos, informaron autoridades militares y regionales. «En total se registró un…",https://www.abc.es/internacional/ucrania-acusa-rusia-lanzar-mayor-ataque-drones-20230528124446-nt.html,2023-05-28T10:44:46Z,Www.abc.es,es
,"Rusia lanza 54 drones de ataque sobre Ucrania, de los que 52 han sido destruidos","Rusia ha lanzado durante la noche del sábado al domingo 54 drones de ataque iraníes ""Shahed-136/131"" desde la región rusa de Bryansk por el norte y la región de Krasnodar desde el sur y las defensas aéreas de Ucrania han conseguido destruir 52 de ellos.",https://www.europapress.es/internacional/noticia-rusia-lanza-54-drones-ataque-ucrania-52-sido-destruidos-20230528072004.html,2023-05-28T05:20:04Z,Europapress.es,es
Antonio Morente,"Cuando el calendario lunar y el electoral coinciden, hay un rociero melancólico junto a la urna contando las horas","Cuentan los socialistas manriqueños la historia de un comité federal del partido en Madrid, en la época de Felipe González de secretario general y Alfonso Guerra de vicesecretario general, en el que el por entonces vicepresidente del Gobierno aprovechó su int…",https://www.eldiario.es/sevilla/calendario-lunar-electoral-coinciden-hay-rociero-melancolico-urna-contando-horas_1_10245474.html,2023-05-28T12:55:16Z,Eldiario.es,es
Sputnik Mundo,Líderes de la izquierda creen que Sudamérica puede contribuir al fin del conflicto en Ucrania,"MONTEVIDEO (Sputnik) — Dirigentes de la izquierda sudamericana afirmaron, en una declaración conjunta a la que accedió la agencia Sputnik, que la región puede contribuir al fin del conflicto en Ucrania, donde la Organización del Tratado del Atlántico Norte (O…",https://sputniknews.lat/20230528/lideres-de-la-izquierda-creen-que-sudamerica-puede-contribuir-al-fin-del-conflicto-en-ucrania-1139945220.html,2023-05-28T04:20:45Z,Sputniknews.lat,es
Brais Suárez,"Mariana Mortágue, la apuesta continuista para resucitar al Bloco de Esquerda portugués",La joven bloquista releva a la Catarina Martins al frente del BE para iniciar un nuevo ciclo político,https://www.lavozdegalicia.es/noticia/internacional/2023/05/29/mariana-mortague-apuesta-continuista-resucitar-bloco-esquerda-portugues/0003_202305G29P39993.htm,2023-05-28T17:42:00Z,Lavozdegalicia.es,es
Deutsche Welle (www.dw.com),UE tilda de “bárbaros” últimos ataques rusos contra Ucrania,"Bruselas seguirá ayudando a Ucrania a defenderse, dijo funcionaria comunitaria, que dijo que los líderes rusos “rendirán cuentas”. Francia declaró que los ataques contra Kiev y una clínica eran “crímenes de guerra”.",https://www.dw.com/es/ue-tilda-de-b%C3%A1rbaros-%C3%BAltimos-ataques-rusos-contra-ucrania/a-65760078,2023-05-28T18:13:00Z,DW (English),es
SpamALot,"Lindsey Graham: ""Los rusos se están muriendo... es el mejor dinero que hemos gastado"". (eng)","Si Estados Unidos no respalda lo suficiente a Ucrania en la guerra contra Rusia, eso enviaría una señal a China de que podría tomar Taiwán, dijo un alto senador en una visita a Kiev el viernes (26 de mayo). Lindsey Graham, un republicano, dijo después de reun…",https://www.meneame.net/m/politica/lindsey-graham-rusos-estan-muriendo-mejor-dinero-hemos-gastado,2023-05-28T14:31:23Z,Meneame.net,es
,Ucrania confirma la muerte de un civil en los últimos ataques aéreos con drones sobre Kiev,"El alcalde de Kiev, Vitali Klitschko, ha confirmado la muerte de un hombre civil de 41 años en los últimos ""ataques masivos"" con drones por parte de Rusia sobre esta ciudad.",https://www.europapress.es/internacional/noticia-ucrania-confirma-muerte-civil-ultimos-ataques-aereos-drones-kiev-20230528040206.html,2023-05-28T02:02:06Z,Europapress.es,es
Deutsche Welle (www.dw.com),"Un muerto en Kiev tras ataque ""masivo"" de drones rusos","Las autoridades advierten sobre nuevas oleadas de drones que se aproximan a la capital de Ucrania ""desde varias direcciones a la vez"".",https://www.dw.com/es/un-muerto-en-kiev-tras-ataque-masivo-de-drones-rusos/a-65755944,2023-05-28T01:30:00Z,DW (English),es
JOAN SOLSONA,"Kostyuk contesta a Sabalenka: ""Que diga quién quiere que gane la guerra, no la respeto""","Marta Kostyuk fue cuestionada a cerca de las palabras de Aryna Sabalenka condenando la guerra de Ucrania en la que están implicados Rusia y Bielorrusia. 
En este sentido, Kostyuk n",https://www.marca.com/tenis/roland-garros/2023/05/28/64734570e2704e3da58b4586.html,2023-05-28T12:13:54Z,Marca,es
(abc),Rusia advierte que suministrar los cazas F-16 a Kiev es «jugar con fuego»,"El suministro a Ucrania por parte de Occidente de aviones de combate F-16 sigue preocupando seriamente a las autoridades rusas, cuyos altos dirigentes llevan días pronunciándose al respecto y lanzado advertencias sobre las graves consecuencias que tal decisió…",https://www.abc.es/internacional/rusia-advierte-suministrar-cazas-f16-kiev-jugar-20230528184003-nt.html,2023-05-28T16:40:04Z,Www.abc.es,es
Sputnik Mundo,"Lavrov: en Occidente hay voces contra el envío de F-16 a Kiev, pero no son ellos los que deciden","MOSCÚ (Sputnik) — El ministro de Asuntos Exteriores ruso, Serguéi Lavrov, calificó de ""escalada inaceptable"" los planes de entrega de los cazas F-16 a Ucrania. Agregó que en Occidente hay personas que están en contra de la ayuda militar a Kiev, pero los que d…",https://sputniknews.lat/20230528/lavrov-en-occidente-hay-voces-contra-el-envio-de-f-16-a-kiev-pero-no-son-ellos-los-que-deciden-1139948331.html,2023-05-28T10:19:06Z,Sputniknews.lat,es
Deutsche Welle (www.dw.com),Rusia lanza el mayor ataque con drones en Kiev desde que invadió Ucrania,Se trata del decimocuarto ataque ruso de drones en Kiev desde principios de mayo. Al menos dos personas murieron.,https://www.dw.com/es/rusia-lanza-el-mayor-ataque-con-drones-en-kiev-desde-que-invadi%C3%B3-ucrania/a-65758227,2023-05-28T10:17:00Z,DW (English),es
Deutsche Welle (www.dw.com),"Rusia: planes de Occidente de suministrar aviones F-16 a Ucrania es una ""escalada inaceptable""","El régimen ruso también sostuvo que grupos de expertos ""han estado discutiendo cómo descolonizar Rusia"" y que Kiev es un gobierno ""neonazi creado por el propio Occidente"".",https://www.dw.com/es/rusia-planes-de-occidente-de-suministrar-aviones-f-16-a-ucrania-es-una-escalada-inaceptable/a-65758368,2023-05-28T10:39:00Z,DW (English),es
Rafael Vilasanjuan,¿Dónde estamos en Ucrania?,"La batalla de Bajmut ha dejado la peor memoria de lo que puede ser una guerra: toda una ciudad reducida a escombros con miles de personas muertas en ambos bandos, incluyendo población no combatiente atrapada entre el fuego cruzado. Ahora en sus calles patrull…",https://www.elperiodico.com/es/opinion/20230528/ucrania-guerra-bajmut-zelenski-putin-contraofensiva-articulo-rafael-vilasanjuan-87959111,2023-05-28T14:00:30Z,Elperiodico.com,es
Carlos Fresneda,"El 63% de los británicos cree que el Brexit ""ha creado más problemas que los que ha resuelto""","El 63% de los británicos cree a estas alturas que el Brexit &quot;ha creado más problemas que los que ha resuelto&quot;, frente al escaso 21% que opina lo contrario, según un...",https://www.elmundo.es/internacional/2023/05/28/64737407fc6c831b6f8b459b.html,2023-05-28T15:56:55Z,El Mundo,es
Antonio Gershenson,Antonio Gershenson: El fentanilo contra Estados Unidos,"En todas las culturas, en todas las épocas, la necesidad de salir de los problemas de la manera más “fácil” y rápida lleva a las personas a buscar un paliativo, si es que a las drogas podemos llamarles de ese modo. De acuerdo con el criterio de especialistas …",https://www.jornada.com.mx/2023/05/28/opinion/011a2pol,2023-05-28T08:34:56Z,Jornada.com.mx,es
AFP,Mayor ataque ruso a Ucrania: 58 drones fueron derribados por la defensa de Kiev,Este ataque se produce en un momento en que Rusia intensifica sus bombardeos contra la capital ucraniana y lanzó advertencias contra las potencias occidentales después de que Estados Unidos dio luz verde para que Kiev acceda a los aviones de combate F—16.,https://www.nacion.com/el-mundo/conflictos/mayor-ataque-ruso-a-ucrania-58-drones-fueron/YXDJKVFAIRH2BM5DJODEU2YTVY/story/,2023-05-28T18:08:19Z,Nacion.com,es
,El PP arrolla a Pedro Sánchez y marca un cambio de ciclo,"El PP avanza, el PSOE retrocede. El gran eslogan del socialismo se ha cumplido a la inversa. Pedro Sánchez ha sufrido una escabechina en estas elecciones autonómicas y municipales mientras que Alberto Núñez Feijóo coge impulso para las generales de finales de…",https://www.epe.es/es/elecciones/20230528/resultados-elecciones-autonomicas-municipales-psoe-pp-sanchez-feijoo-88006753,2023-05-28T18:00:00Z,Www.epe.es,es
JOAN SOLSONA,Tensión en Roland Garros: la ucraniana Kostyuk cae con la bielorrusa Sabalenka y no se dan la mano,"Marta Kostyuk es una de las cuatro tenistas ucranianas en el &apos;top100&apos; mundial, pero es la más rebelde de todos. No se calla lo que piensa y siempre actúa en base a lo que",https://www.marca.com/tenis/roland-garros/2023/05/28/64732211e2704ee5918b4584.html,2023-05-28T10:21:42Z,Marca,es
,Ucrania libra la batalla lingüística y pide que se escriba correctamente sobre la invasión,"Al principio de la guerra, las delegaciones diplomáticas de Ucrania en los países aliados dieron la batalla para que los medios de comunicación usaran los topónimos en su transliteración ucraniana en lugar de la rusa. Que se escribiera y dijera Kyiv en lugar …",https://www.epe.es/es/internacional/20230527/ucrania-libra-batalla-linguistica-guerra-invasion-rusia-87915322,2023-05-28T13:04:13Z,Www.epe.es,es
El Confidencial,La revolución de la Inteligencia Artificial: ¿está fuera de control?,"En esta edición podrás leer estos temas: regulación de la IA, 350.000.000, La IA y nuestro derecho a la intimidad, Desinformación, Lectores: nosotros también tenemos miedo",https://www.elconfidencial.com/mundo/2023-05-28/la-revolucion-de-la-inteligencia-artificial-esta-fuera-de-control_3636800/,2023-05-28T03:00:00Z,Elconfidencial.com,es
República/EFE,Rusia lanza el mayor ataque con drones contra Kiev y reagrupa sus fuerzas en Bajmut,"Rusia lanzó la madrugada de este domingo el mayor ataque de drones sobre Kiev, mientras en el frente oriental continuó la reagrupación de sus tropas tras el comienzo del repliegue de los mercenarios del Grupo Wagner de la devastada ciudad de Bajmut. ""Ha sido …",https://www.republica.com/internacional/rusia-lanza-el-mayor-ataque-con-drones-contra-kiev-y-reagrupa-sus-fuerzas-en-bajmut-20230528-19561930378/,2023-05-28T17:56:00Z,Republica.com,es
,Rusia y su política represiva,Rusia y su política represiva,https://www.lanacion.com.ar/editoriales/rusia-y-su-politica-represiva-nid28052023/,2023-05-28T03:05:00Z,La Nacion,es
Eduardo Venegas,Factores potenciales que afectan el crecimiento y la adopción futuros de Cardano,"BeInCrypto analiza el crecimiento y los altibajos de Cardano y cómo se sigue posicionando entre las principales criptomonedas del mercado.
El post Factores potenciales que afectan el crecimiento y la adopción futuros de Cardano fue visto por primera vez en Be…",https://es.beincrypto.com/factores-potenciales-afectan-crecimiento-adopcion-futuros-cardano/,2023-05-28T19:12:16Z,BeInCrypto,es
gruponacion,Editorial: Los brutales mercenarios rusos,"Sus atroces acciones en Ucrania revelan tanto la falta de principios como la vulnerabilidad militar de Moscú. El repliegue del más poderoso ejército privado de una ciudad clave, plantea un serio reto a Putin y sus generales.",https://www.nacion.com/opinion/editorial/editorial-los-brutales-mercenarios-rusos/7K44I3NBBZBM7IMA7SBSZD5UOA/story/,2023-05-28T03:09:00Z,Nacion.com,es
El Periódico,"Guerra Rusia - Ucrania: Última hora de la invasión de Putin, en directo","Últimas noticias en relación con el conflicto armado que mantienen Rusia y Ucrania. Vea aquí los momentos clave del conflicto. En este directo puede seguir, minuto a minuto, las últimas noticias de actualidad sobre la guerra entre los dos países:",https://www.elperiodico.com/es/internacional/20230528/guerra-rusia-ucrania-ultima-hora-87702210,2023-05-28T06:37:00Z,Elperiodico.com,es
EFE,El ministro de Exteriores de Rusia arremete contra el envío de aviones F-16 a Ucrania,"El ministro de Asuntos Exteriores de Rusia, Serguéi Lavrov, tachó de ""escalada inaceptable"" los planes de Occidente de suministrar a Ucrania aviones de combate F-16, en una entrevista que se emitirá hoy en el Canal 1 de la televisión rusa, fragmentos de la cu…",https://www.elperiodico.com/es/internacional/20230528/ministro-exteriores-rusia-arremete-envio-87998263,2023-05-28T12:57:24Z,Elperiodico.com,es
Carlos Navarro,"Kostyuk contesta a Sabalenka: No la odio, pero no la respeto por su postura hacia la guerra","Tras su duelo en Roland Garros, Aryna y Marta contestaron preguntas sobre la invasión rusa. Kostyuk se defiende: ""Deberíais preguntarle quién quiere que gane la guerra"".",https://www.puntodebreak.com/2023/05/28/kostyuk-contesta-sabalenka-no-odio-no-respeto-postura-guerra,2023-05-28T16:04:01Z,Punto de Break,es
Sebastián Torok,"Roland Garros. La ucraniana Marta Kostyuk no saludó a su rival, la bielorrusa Aryna Sabalenka, y sentenció: “Generaliza sus respuestas; no la respeto”","La jugadora nacida en Kiev, que rechaza abiertamente a sus rivales de Rusia y Belarús por la guerra iniciada por el Kremlin, ignoró a la N° 2 en la cancha y luego la criticó con acidez",https://www.lanacion.com.ar/deportes/tenis/roland-garros-la-ucraniana-marta-kostyuk-no-saludo-a-su-rival-la-bielorrusa-aryna-sabalenka-y-nid28052023/,2023-05-28T17:45:03Z,La Nacion,es
